Day,Close/Last,Volume,Open,High,Low
33,$153.85,7187038,$152.34,$156.32,$152.12
30,$153.50,10604400,$149.99,$154.55,$148.90
29,$149.10,6789805,$145.11,$149.19,$145.00
28,$145.81,5777273,$144.23,$145.93,$144.15
27,$144.10,8738725,$142.90,$144.15,$141.60
23,$143.39,5001806,$144.67,$146.17,$143.33
22,$144.58,7175276,$144.23,$144.94,$143.60
21,$143.99,6658177,$144.04,$144.78,$143.03
20,$145.64,6353965,$144.37,$145.72,$143.40
17,$144.35,8715391,$144.35,$144.52,$143.01
14,$144.58,5872343,$145.01,$145.15,$143.90
13,$145.35,5604877,$146.26,$146.90,$143.96
12,$145.66,9249234,$143.39,$145.79,$142.70
11,$143.49,12804950,$146.10,$147.75,$143.00
10,$150.27,7196227,$149.76,$151.13,$148.83
7,$150.69,4906744,$150.76,$151.69,$150.27
6,$151.90,4671278,$151.28,$153.08,$150.63
5,$150.37,4874072,$151.13,$152.00,$150.23
4,$150.25,6349670,$154.15,$154.61,$150.12
3,$154.61,9820585,$150.92,$155.47,$150.90
1,$149.12,4509550,$148.82,$149.31,$148.13
