Date,Close/Last,Volume,Open,High,Low,Day
2025-02-24,153.85,7187038,152.34,156.32,152.12,1826
2025-02-21,153.5,10604400,149.99,154.55,148.9,1823
2025-02-20,149.1,6789805,145.11,149.1899,145,1822
2025-02-19,145.81,5777273,144.23,145.93,144.15,1821
2025-02-18,144.1,8738725,142.9,144.15,141.6,1820
2025-02-14,143.39,5001806,144.67,146.17,143.33,1816
2025-02-13,144.58,7175276,144.23,144.935,143.6,1815
2025-02-12,143.99,6658177,144.04,144.78,143.03,1814
2025-02-11,145.64,6353965,144.37,145.72,143.4,1813
2025-02-10,144.35,8715391,144.35,144.52,143.01,1812
2025-02-07,144.58,5872343,145.01,145.15,143.9,1809
2025-02-06,145.35,5604877,146.26,146.9,143.96,1808
2025-02-05,145.66,9249234,143.39,145.79,142.7,1807
2025-02-04,143.49,12804950,146.1,147.75,143,1806
2025-02-03,150.27,7196227,149.755,151.13,148.83,1805
2025-01-31,150.69,4906744,150.76,151.69,150.27,1802
2025-01-30,151.9,4671278,151.28,153.08,150.63,1801
2025-01-29,150.37,4874072,151.13,152,150.23,1800
2025-01-28,150.25,6349670,154.145,154.61,150.12,1799
2025-01-27,154.61,9820585,150.92,155.47,150.9,1798
2025-01-24,149.12,4509550,148.82,149.31,148.13,1795
2025-01-23,148.62,4759125,148.49,148.9399,146.61,1794
2025-01-22,148.09,5905060,148.23,149.45,147.79,1793
2025-01-21,148.55,7456182,148.33,149.78,147.77,1792
2025-01-17,148.25,7338870,147.72,148.62,147.17,1788
2025-01-16,146.54,5068040,144.05,146.79,143.69,1787
2025-01-15,144.78,7141555,145.49,146.2,144.17,1786
2025-01-14,144.95,6996448,144.19,145.14,143.56,1785
2025-01-13,144.5,8101358,142.79,145.14,142.14,1784
2025-01-10,142.64,9632651,145,145.575,141.51,1781
2025-01-08,146.54,6791848,145.4,146.67,144.56,1779
2025-01-07,145.4,7473300,146.46,147.97,145.34,1778
2025-01-06,146.27,9470626,149.6,149.95,146.1,1777
2025-01-03,149.65,5221639,150.96,150.96,149.56,1774
2025-01-02,150.21,4970233,152.88,153.66,149.89,1773
2024-12-31,152.06,4274960,151.8,153.15,150.94,1771
2024-12-30,151.72,5397016,152.66,153.09,151.09,1770
2024-12-27,152.89,4287007,151.29,153.47,151.26,1767
2024-12-26,152.44,5529590,152.53,153.1799,152.24,1766
2024-12-24,152.81,3399800,150.5,152.83,150.41,1764
2024-12-23,151.29,6822232,152.41,152.41,149.71,1763
2024-12-20,152.79,19205160,150.86,153.49,150.51,1760
2024-12-19,151.47,9829489,153.09,154.0794,151.41,1759
2024-12-18,154.43,7620865,155.03,155.83,154.11,1758
2024-12-17,156.14,6572560,155.74,158.5,155.24,1757
2024-12-16,156.02,6696490,157.85,158.82,155.88,1756
2024-12-13,157.97,4353854,157.53,159.57,157.06,1753
2024-12-12,158.9,6849507,159.09,159.4,157.97,1752
2024-12-11,156.77,7925928,160.21,160.515,156.26,1751
2024-12-10,159.84,5329401,159,160.42,157.35,1750
2024-12-09,159.47,8380406,157.91,161.5,157.14,1749
2024-12-06,157.79,8359166,159.35,160.8,157.69,1746
2024-12-05,160.49,5229646,160.93,161.01,158.83,1745
2024-12-04,160.18,6964605,160.6,161.0327,159.41,1744
2024-12-03,161.7,4277392,162.84,163.05,161.42,1743
2024-12-02,163.05,4967612,163.315,163.65,161.76,1742
2024-11-29,163.45,2799312,161.43,163.585,160.95,1739
2024-11-27,162.72,3622893,161.94,165.13,161.68,1737
